beginpoint,endpoint,period,libsetup,checktype,required,arrival,slack,launchclk,captureclk,skew,fanout,netdelay,netcount,instcount,invdelay,bufdelay,combodelay,seqdelay,totaldelay,invcount,bufcount,combocount,seqcount,portcount,load,wirelength
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST26/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.326,3.110,-1.784,0.295,0.288,-0.007000000000000006,157,0.058,32,32,0.153,0.0,2.422,0.181,0.0,2,0,29,1,0,0.3040000000000001,1029.6840000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST39/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.453,3.237,-1.783,0.295,0.351,0.055999999999999994,206,0.065,30,30,0.219,0.0,2.475,0.181,0.0,2,0,27,1,0,0.3550000000000001,1081.676
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST42/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.448,3.231,-1.783,0.295,0.351,0.055999999999999994,206,0.064,30,30,0.219,0.0,2.4690000000000003,0.181,0.0,2,0,27,1,0,0.3540000000000001,1076.673
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[728]/D,1.200,0.104,Setup Check,1.578,3.360,-1.783,0.295,0.482,0.187,217,0.084,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST19/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.398,3.180,-1.782,0.295,0.29,-0.0050000000000000044,157,0.056,32,32,0.137,0.0,2.5100000000000002,0.181,0.0,1,0,30,1,0,0.3030000000000001,1023.8780000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[344]/D,1.200,0.114,Setup Check,1.578,3.360,-1.782,0.295,0.492,0.197,217,0.084,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST57/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.379,3.161,-1.781,0.295,0.282,-0.013000000000000012,142,0.05,36,36,0.0,0.0,2.630000000000001,0.181,0.0,0,0,35,1,0,0.2760000000000001,903.374
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[568]/D,1.200,0.104,Setup Check,1.580,3.362,-1.781,0.295,0.484,0.189,217,0.086,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST26/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.329,3.110,-1.781,0.295,0.291,-0.0040000000000000036,157,0.058,32,32,0.153,0.0,2.422,0.181,0.0,2,0,29,1,0,0.3040000000000001,1029.6840000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST27/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.409,3.189,-1.780,0.295,0.291,-0.0040000000000000036,157,0.056,32,32,0.137,0.0,2.519,0.181,0.0,1,0,30,1,0,0.3040000000000001,1029.633
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST22/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.327,3.107,-1.780,0.295,0.286,-0.009000000000000008,158,0.057,32,32,0.153,0.0,2.419,0.181,0.0,2,0,29,1,0,0.3030000000000001,1024.3410000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST14/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.429,3.209,-1.780,0.295,0.354,0.059,159,0.058,32,32,0.197,0.0,2.476,0.181,0.0,2,0,29,1,0,0.3100000000000001,1053.1820000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST14/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.429,3.209,-1.780,0.295,0.355,0.06,159,0.058,32,32,0.197,0.0,2.476,0.181,0.0,2,0,29,1,0,0.3100000000000001,1053.1820000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST27/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.409,3.189,-1.779,0.295,0.289,-0.006000000000000005,157,0.056,32,32,0.137,0.0,2.519,0.181,0.0,1,0,30,1,0,0.3040000000000001,1029.633
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[632]/D,1.200,0.103,Setup Check,1.583,3.360,-1.777,0.295,0.486,0.191,217,0.084,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[248]/D,1.200,0.112,Setup Check,1.584,3.360,-1.776,0.295,0.496,0.201,217,0.084,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST28/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.398,3.173,-1.775,0.295,0.288,-0.007000000000000006,157,0.057,32,32,0.137,0.0,2.5020000000000002,0.181,0.0,1,0,30,1,0,0.3040000000000001,1030.064
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[856]/D,1.200,0.099,Setup Check,1.590,3.362,-1.772,0.295,0.489,0.194,217,0.086,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST29/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.332,3.103,-1.771,0.295,0.288,-0.007000000000000006,157,0.059,32,32,0.157,0.0,2.41,0.181,0.0,2,0,29,1,0,0.3030000000000001,1025.8860000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[472]/D,1.200,0.111,Setup Check,1.590,3.360,-1.771,0.295,0.501,0.20600000000000002,217,0.084,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST30/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.332,3.102,-1.771,0.295,0.288,-0.007000000000000006,157,0.057,32,32,0.153,0.0,2.415,0.181,0.0,2,0,29,1,0,0.3020000000000001,1022.5910000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[888]/D,1.200,0.099,Setup Check,1.593,3.362,-1.769,0.295,0.492,0.197,217,0.086,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,gen_regfile_ff.register_file_i_rf_reg_q_reg[824]/D,1.200,0.101,Setup Check,1.585,3.354,-1.769,0.295,0.486,0.191,217,0.078,33,33,0.105,0.0,2.693,0.181,0.0,1,0,31,1,0,0.3890000000000001,1249.8210000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST40/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.450,3.219,-1.769,0.295,0.38,0.08500000000000002,226,0.067,30,30,0.219,0.0,2.455,0.181,0.0,2,0,27,1,0,0.36700000000000005,1094.24
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST30/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.335,3.103,-1.768,0.295,0.291,-0.0040000000000000036,157,0.057,32,32,0.153,0.0,2.415,0.181,0.0,2,0,29,1,0,0.3020000000000001,1022.5910000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST17/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.334,3.102,-1.768,0.295,0.29,-0.0050000000000000044,157,0.058,32,32,0.157,0.0,2.41,0.181,0.0,2,0,29,1,0,0.3030000000000001,1026.2000000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST17/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.335,3.102,-1.767,0.295,0.288,-0.007000000000000006,157,0.058,32,32,0.157,0.0,2.41,0.181,0.0,2,0,29,1,0,0.3030000000000001,1026.2000000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST29/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.335,3.103,-1.767,0.295,0.291,-0.0040000000000000036,157,0.059,32,32,0.157,0.0,2.41,0.181,0.0,2,0,29,1,0,0.3030000000000001,1025.8860000000002
